Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
325.2,0.1422,2.4381,0.0234,15
333.2843,0.1351,2.3137,0.0229,19
129.9245,0.1723,2.3019,0.0443,14
555.3151,0.1188,2.2877,0.0158,20
536.7606,0.1194,2.2958,0.0163,20
488.3404,0.1286,2.3262,0.0166,18
339.4272,0.1348,2.2913,0.0225,17
353.0104,0.1219,2.2083,0.0232,18
227.8784,0.1421,2.2432,0.0307,18
393.8898,0.1327,2.322,0.0198,18
336.6972,0.1406,2.3303,0.0216,15
283.5426,0.1445,2.383,0.0256,15
346.5926,0.1367,2.3704,0.0222,16
376.0357,0.133,2.3036,0.0208,17
325.8367,0.1327,2.2857,0.0236,17
248.5122,0.1435,2.2927,0.0283,15
250.3625,0.1401,2.25,0.0285,16
352.5446,0.1274,2.2574,0.0226,17
513.2734,0.1127,2.2188,0.0175,19
407.2523,0.1184,2.2617,0.0213,19
371.4167,0.1293,2.3148,0.0216,19
417.7607,0.1249,2.3077,0.0199,16
585.0949,0.108,2.2482,0.0165,23
530.3101,0.1115,2.2171,0.0173,22
658.327,0.1105,2.2767,0.0144,21
481.9851,0.124,2.3284,0.0175,17
538.8188,0.1161,2.2899,0.0167,20
506.622,0.1143,2.2992,0.0182,21
553.4101,0.1146,2.3022,0.0167,23
373.8273,0.131,2.3091,0.0212,18
150.5088,0.1602,2.2105,0.0395,14
99.4,0.1866,2.2222,0.0505,12
317.4667,0.1444,2.3619,0.0227,16
371.0696,0.1363,2.313,0.0203,16
426.4308,0.135,2.3538,0.0182,17
314.6818,0.1258,2.2273,0.0256,21
240.2078,0.14,2.2857,0.0301,16
309.3192,0.1348,2.2553,0.0243,19
435.3906,0.1305,2.3281,0.0183,18
301.4688,0.1397,2.3542,0.0248,18
355.5545,0.1365,2.3636,0.0217,17
351.1739,0.1434,2.4,0.0211,15
399.7895,0.1269,2.3158,0.0205,18
392.7383,0.1217,2.2991,0.0217,19
239.8026,0.1382,2.2368,0.0298,15
334.1068,0.1348,2.2524,0.0221,15
339.41,0.1318,2.28,0.023,18
402.7757,0.1198,2.2243,0.021,18
387.5225,0.1271,2.2703,0.0206,17
455.9758,0.1217,2.2903,0.0186,19
388.4615,0.1203,2.25,0.0218,21
579.9111,0.1077,2.2222,0.0166,25
588.9494,0.1203,2.3038,0.0147,19
630.5068,0.1069,2.2603,0.0156,22
502.947,0.1192,2.303,0.0176,21
541.5775,0.1183,2.2958,0.0163,19
468.496,0.1204,2.352,0.019,19
132.1154,0.1671,2.2692,0.0445,14
257.9032,0.156,2.3871,0.0259,13
352.0917,0.1372,2.3303,0.0216,17
432.4173,0.1302,2.2992,0.0182,16
271.5544,0.1469,2.3043,0.0253,15
297.2188,0.1417,2.2917,0.0241,17
346.0098,0.1311,2.2549,0.0223,17
360.7611,0.1382,2.3717,0.0212,18
400.7479,0.132,2.3697,0.0201,18
511.9173,0.1183,2.3008,0.0174,21
484.8195,0.1235,2.3459,0.0178,19
465.2348,0.1272,2.3333,0.0178,19
379.9735,0.1307,2.3186,0.0207,16
221.2192,0.1427,2.2466,0.0312,15
347.6604,0.1343,2.283,0.0217,16
568.9257,0.1185,2.2973,0.0156,20
679.5342,0.1086,2.2733,0.0142,21
675.7736,0.1082,2.2642,0.0143,22
543.3459,0.1112,2.2556,0.0171,23
531.6912,0.1157,2.2794,0.0169,20
