Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
10261.4877,0.1819,8.4686,0.0019,11
9365.5968,0.1954,8.6859,0.0019,10
10502.0811,0.1787,8.2025,0.0018,13
11313.6714,0.168,8.1676,0.0018,14
9149.5446,0.199,8.5184,0.0019,11
9055.6788,0.201,8.5479,0.0019,10
6687.3963,0.2525,7.0806,0.0016,7
7788.3392,0.2262,9.0242,0.002,9
8212.377,0.2166,8.828,0.002,10
8075.481,0.2193,9.142,0.002,9
7210.9456,0.2405,8.5901,0.0019,8
7328.9281,0.2383,7.3427,0.0016,9
7231.4715,0.2413,6.793,0.0015,9
6971.1698,0.2479,8.0833,0.0018,9
8300.0596,0.2168,9.3297,0.0021,10
9710.4668,0.1907,8.7352,0.002,12
9092.1346,0.2004,9.1304,0.002,10
8966.0076,0.2037,9.1635,0.0021,12
7015.9839,0.2468,9.1958,0.0021,9
6089.8741,0.2727,8.7979,0.002,8
5536.6077,0.2892,8.401,0.0019,6
6712.5795,0.2536,8.6375,0.0019,8
6965.6915,0.2467,8.1698,0.0018,9
6287.9657,0.2696,9.9019,0.0022,8
6615.4135,0.2577,9.7267,0.0022,9
6465.0468,0.2639,9.3065,0.0021,10
7959.8365,0.2254,8.2814,0.0019,10
7652.0594,0.232,9.0072,0.002,11
8869.1389,0.2048,9.0865,0.002,10
10029.1926,0.1857,8.4839,0.0019,11
10450.5336,0.1795,8.5632,0.0019,11
10295.3689,0.1817,8.6008,0.0019,13
10492.599,0.1791,8.3118,0.0019,13
8674.1559,0.2083,8.9691,0.002,10
5982.9072,0.2741,7.0905,0.0016,6
6009.4605,0.2737,6.6205,0.0015,8
6638.4512,0.2542,8.3638,0.0019,7
7714.1823,0.2279,8.595,0.0019,9
7379.4028,0.2352,9.7841,0.0022,8
6737.5829,0.2542,7.2343,0.0016,8
7010.9917,0.247,7.4427,0.0017,8
7279.0542,0.2399,6.8719,0.0015,9
7988.1566,0.2239,8.6922,0.0019,10
8126.9505,0.2213,9.2182,0.0021,11
9444.6452,0.1949,8.5591,0.0019,11
9136.1044,0.2003,8.9821,0.002,12
8537.336,0.2141,9.1429,0.002,12
7193.9155,0.2412,9.1111,0.002,8
6916.7838,0.2496,7.8701,0.0018,9
6113.8313,0.2705,8.1438,0.0018,7
6613.8871,0.2561,8.7128,0.002,8
6532.1006,0.2588,8.0739,0.0018,9
6359.1599,0.2648,8.9234,0.002,8
6957.1496,0.2481,8.2603,0.0019,9
7096.396,0.2454,8.4328,0.0019,9
7270.3331,0.2393,8.5148,0.0019,9
9149.4471,0.2023,9.5905,0.0021,12
8917.4915,0.2039,9.1304,0.002,10
9971.1602,0.1868,8.8374,0.002,11
10278.3611,0.1829,8.7428,0.002,13
9316.6198,0.1966,8.6474,0.0019,10
6193.8931,0.2671,6.6183,0.0015,7
6435.9704,0.2603,8.2724,0.0019,8
7183.3445,0.2396,8.4637,0.0019,7
6720.7677,0.252,9.6662,0.0022,8
6919.9308,0.2473,7.6998,0.0017,8
7602.674,0.2316,7.7724,0.0017,9
7616.082,0.231,8.172,0.0018,8
8575.5611,0.2118,8.6909,0.0019,12
10504.8226,0.1789,8.6864,0.0019,13
9959.1151,0.1867,8.7513,0.002,14
9708.1938,0.1906,8.5739,0.0019,13
8664.7498,0.2099,9.2137,0.0021,11
6511.0072,0.2595,8.9359,0.002,7
6194.1716,0.2692,7.8746,0.0018,8
6419.0155,0.2623,8.7025,0.0019,7
8009.7475,0.2212,8.8772,0.002,8
8356.6335,0.2141,8.7944,0.002,10
9201.8246,0.1992,8.8418,0.002,12
7612.2083,0.2317,7.8907,0.0018,9
7835.7513,0.2274,8.5645,0.0019,10
7099.5349,0.2435,8.8396,0.002,9
8334.7408,0.2169,9.379,0.0021,11
8354.7079,0.2151,8.8902,0.002,10
9385.0715,0.1952,8.4579,0.0019,10
9888.5712,0.1873,7.9803,0.0018,11
6900.661,0.2474,7.776,0.0017,8
5919.4397,0.2764,8.474,0.0019,7
6097.4397,0.2709,8.6156,0.0019,7
7045.1951,0.2438,7.9713,0.0018,8
8116.6642,0.2197,9.1075,0.002,10
8645.8208,0.2093,8.789,0.002,11
9492.2108,0.1952,9.3696,0.0021,13
10141.8479,0.1838,8.6976,0.0019,13
8294.6707,0.2151,9.0063,0.002,11
9679.4297,0.1907,8.3006,0.0019,13
8090.0676,0.2204,9.3262,0.0021,10
6145.9238,0.2703,8.3427,0.0019,8
6747.8273,0.2528,7.7379,0.0017,8
8016.6754,0.2212,9.8194,0.0022,9
8136.3445,0.2182,9.3598,0.0021,9
9405.1866,0.1947,8.2003,0.0018,11
9385.3994,0.1955,8.7056,0.002,11
7380.4279,0.2371,7.8038,0.0017,9
8593.3936,0.2097,8.5233,0.0019,11
9213.7245,0.1984,8.4489,0.0019,11
9786.7659,0.1891,8.741,0.002,11
8507.4137,0.2115,9.043,0.002,9
9909.5844,0.1871,8.0954,0.0018,11
7116.1642,0.2434,8.7746,0.002,8
6662.9792,0.2542,8.3826,0.0019,7
7919.4964,0.2226,8.3459,0.0019,8
8989.086,0.2046,9.2917,0.0021,12
7585.7811,0.233,8.6725,0.0019,10
8721.6308,0.207,9.0856,0.002,10
9719.7554,0.1894,8.3526,0.0019,11
9171.0116,0.1987,8.0605,0.0018,10
9469.4724,0.1947,8.9068,0.002,12
6485.1102,0.2617,10.4718,0.0023,8
5541.739,0.2906,8.7581,0.002,7
6811.7518,0.2501,9.4319,0.0021,8
8903.5726,0.2038,8.9435,0.002,12
9710.7892,0.19,7.9686,0.0018,12
9466.9025,0.194,8.3535,0.0019,11
9646.9108,0.1905,8.9095,0.002,11
8348.5459,0.2142,8.8813,0.002,9
10079.7417,0.1846,8.0824,0.0018,13
10511.8414,0.1783,8.009,0.0018,12
9510.3929,0.1932,8.5726,0.0019,10
8257.5354,0.2144,7.233,0.0016,8
8454.3958,0.2113,7.4153,0.0017,9
8377.6422,0.2137,8.3692,0.0019,10
8595.5318,0.2094,8.3244,0.0019,10
8942.3654,0.2031,8.5771,0.0019,10
10124.5508,0.1838,8.4189,0.0019,12
10378.8831,0.1798,8.2737,0.0019,11
8528.9653,0.2112,8.9539,0.002,10
8147.7278,0.2182,8.922,0.002,10
7070.9836,0.2443,9.0672,0.002,8
6501.123,0.2597,9.1649,0.0021,8
7110.4373,0.2431,9.8862,0.0022,9
8559.9601,0.2104,9.3033,0.0021,10
9690.3777,0.1907,7.9745,0.0018,12
9577.4527,0.1925,7.7092,0.0017,11
9940.3734,0.1865,7.7348,0.0017,11
9946.2874,0.1869,7.8831,0.0018,12
8922.817,0.2025,7.6505,0.0017,10
8261.5878,0.2156,7.5475,0.0017,10
8662.6315,0.2078,8.4906,0.0019,10
9326.7392,0.1961,8.3293,0.0019,11
9494.6797,0.1933,8.4892,0.0019,10
10965.1528,0.1716,8.0211,0.0018,13
9810.0865,0.1881,8.0981,0.0018,11
9629.5258,0.191,8.2742,0.0019,10
8945.6284,0.2025,7.9422,0.0018,11
7090.4769,0.2451,7.9861,0.0018,9
7444.4323,0.2357,8.8786,0.002,9
6013.8434,0.2743,9.3808,0.0021,8
9093.6077,0.2006,8.991,0.002,11
9491.0535,0.1938,8.1546,0.0018,11
7706.9908,0.2281,9.5202,0.0021,9
9466.5596,0.1938,9.4731,0.0021,11
8936.0522,0.2024,8.1098,0.0018,10
9345.9146,0.1953,7.8235,0.0018,10
8554.972,0.2099,8.4507,0.0019,10
6899.6982,0.2486,8.0659,0.0018,9
6962.9839,0.2467,8.5246,0.0019,9
9089.5219,0.2008,8.6125,0.0019,11
9297.5629,0.1969,8.3002,0.0019,10
9211.3293,0.1973,8.3593,0.0019,10
9648.8512,0.1903,8.2388,0.0018,11
9242.547,0.1973,8.0242,0.0018,10
8073.7056,0.2199,7.4552,0.0017,10
6736.5419,0.2537,8.3248,0.0019,9
9068.3996,0.2008,8.5851,0.0019,11
9795.3492,0.1885,8.0963,0.0018,10
8471.4816,0.2119,8.9695,0.002,9
9324.3423,0.1961,8.6523,0.0019,11
